_id,_time_c,_time_u,location,date,type,competition,face,distance,distance_units,maxshotsinserie,maxseries,bowsetup_id,arrowset_id,sightadviceaccept_shot_id,meteo_weather,meteo_wind,meteo_winddir,notes,unrecorded_volume,unrecorded_score,time_prep,time_shoot,time_warn,forced_end,archived,_aid
1,1649427321,1656668691,kjss outdoor,1649376000,1,0,10,70.0,0,6,6,1,1,,3.0,2.0,,,,,,,,,0,r1iJvHbkTs7K
2,1649487912,1656668681,charleroi,1649462400,1,1,10,70.0,0,6,6,1,1,,1.0,1.0,,,,,,,,,0,r1iJvHbkTs7K
3,1649494467,1656668676,charleroi,1649462400,1,1,10,70.0,0,6,6,1,1,,,,,,,,,,,,0,r1iJvHbkTs7K
4,1649504869,1656668669,charleroi,1649462400,1,1,10,70.0,0,6,6,1,1,,,,,,,,,,,,0,r1iJvHbkTs7K
5,1649510611,1656668662,charleroi,1649462400,1,1,10,70.0,0,6,6,1,1,,,,,,,,,,,,0,r1iJvHbkTs7K
7,1649576388,1649576388,almere,1649548800,1,1,10,70.0,0,6,6,1,1,,,,,,,,,,,,0,r1iJvHbkTs7K
8,1649576388,1649576388,almere,1649548800,1,1,10,70.0,0,6,6,1,1,,,,,,,,,,,,0,r1iJvHbkTs7K
9,1649590969,1650564544,almere,1649548800,1,1,10,70.0,0,3,3,1,1,,,,,,,,,,,1.0,0,r1iJvHbkTs7K
10,1649592456,1650564541,almere,1649548800,1,1,10,70.0,0,3,4,1,1,,,,,,,,,,,1.0,0,r1iJvHbkTs7K
11,1649592490,1650564532,almere,1649548800,1,1,10,70.0,0,3,4,1,1,,,,,,,,,,,1.0,0,r1iJvHbkTs7K
12,1649592497,1649592497,almere,1649548800,1,1,10,70.0,0,3,5,1,1,,,,,,,,,,,,0,r1iJvHbkTs7K
13,1649932656,1649935867,,1649894400,1,2,10,70.0,0,5,7,1,2,,,,,,,,,,,,0,r1iJvHbkTs7K
14,1650038547,1650038547,kjss outdoor,1649980800,1,2,10,70.0,0,10,5,1,2,,,,,,,,,,,,0,r1iJvHbkTs7K
16,1650566862,1650567067,Antalya,1650412800,1,1,10,70.0,0,6,6,1,1,,1.0,5.0,9.0,qualificatie 1,,,,,,,0,r1iJvHbkTs7K
17,1650566862,1650567037,Antalya,1650412800,1,1,10,70.0,0,6,6,1,1,,1.0,5.0,9.0,qualificatie 2,,,,,,,0,r1iJvHbkTs7K
18,1650566967,1650566967,Antalya,1650499200,1,1,10,70.0,0,1,130,1,1,,1.0,5.0,9.0,"training op practice field. 

wat losgeschoten 5m, daarna 50m klein blazoen, daarna 70m goed gevoel opzoeken",130,,,,,,0,r1iJvHbkTs7K
19,1650567129,1650567129,Antalya,1650240000,1,0,10,70.0,0,1,100,1,1,,1.0,3.0,,losgeschoten,100,,,,,,0,r1iJvHbkTs7K
20,1650567243,1650567279,Antalya,1650326400,1,0,10,70.0,0,1,100,1,1,,1.0,3.0,9.0,nog wat losgeschoten,100,,,,,,0,r1iJvHbkTs7K
21,1650567338,1650567338,Antalya,1650412800,1,0,10,70.0,0,1,60,1,1,,1.0,5.0,9.0,wat getraind voor qualificatie,60,,,,,,0,r1iJvHbkTs7K
22,1650610401,1650614051,Antalya,1650499200,1,0,10,70.0,0,1,45,1,1,,1.0,3.0,9.0,beetje losgeschoten,60,,,,,,0,r1iJvHbkTs7K
23,1650697808,1650747157,Antalya,1650499200,1,1,10,70.0,0,1,0,1,1,,1.0,4.0,7.0,teammatch verloren van USA,30,,,,,,0,r1iJvHbkTs7K
24,1650698713,1650717391,Antalya,1650672000,1,0,10,70.0,0,1,0,1,1,,1.0,4.0,3.0,training op trainingsveld,102,,,,,,0,r1iJvHbkTs7K
25,1650716144,1650722245,Antalya,1650672000,1,0,10,70.0,0,1,0,1,1,,3.0,2.0,,"goed gevoel, klikker iets naar achter (sterkere backtension)",158,,,,,,0,r1iJvHbkTs7K
26,1650746340,1650746395,Antalya,1650412800,1,1,10,70.0,0,3,4,1,1,,1.0,5.0,9.0,1/64ste tegen Pawel CZYZ (POL) direct na qualificatie,,,,,,1.0,0,r1iJvHbkTs7K
27,1650746607,1650746637,Antalya,1650585600,1,1,10,70.0,0,3,3,1,1,,1.0,4.0,9.0,"verder individueel
1/32 Chojecki Milosz (POL)",,,,,,1.0,0,r1iJvHbkTs7K
28,1650746730,1650746772,Antalya,1650585600,1,1,10,70.0,0,3,4,1,1,,1.0,,,1/16 Rai Tarundeep (IND),,,,,,1.0,0,r1iJvHbkTs7K
29,1650746861,1650746861,Antalya,1650585600,1,1,10,70.0,0,3,5,1,1,,1.0,,,1/8 Pierre Plihon (FRA),,,,,,,0,r1iJvHbkTs7K
30,1650746995,1650746995,Antalya,1650585600,1,1,10,70.0,0,3,5,1,1,,1.0,,,1/4 Miguel Alvarino Garcia (ESP) verloren,,,,,,,0,r1iJvHbkTs7K
32,1650974998,1650982334,kjss outdoor,1650931200,1,0,10,70.0,0,8,11,1,1,,2.0,4.0,8.0,,,,,,,1.0,0,r1iJvHbkTs7K
33,1650984568,1650984568,kjss outdoor,1650931200,1,0,10,70.0,0,1,20,1,1,,2.0,,,opwarmen 70m,20,,,,,,0,r1iJvHbkTs7K
34,1650984592,1650984592,kjss outdoor,1650931200,1,0,10,90.0,0,1,8,1,1,,2.0,,,vizier goed zetten 90m,8,,,,,,0,r1iJvHbkTs7K
35,1650984670,1650984670,kjss outdoor,1650931200,1,0,10,90.0,0,8,6,1,1,,2.0,,,,,,,,,,0,r1iJvHbkTs7K
