_id,_time_c,_time_u,name,location,date,type,competition,notes,archived,_aid
1,1649427261,1649427261,plotten,kjss outdoor,1649376000,3,2,,0,r1iJvHbkTs7K
2,1649576388,1649576388,lowlands almere,almere,1649548800,3,1,,0,r1iJvHbkTs7K
3,1649932641,1649932641,plotten 380 120g achterin afgekord,,1649894400,3,2,,0,r1iJvHbkTs7K
4,1650038512,1650038512,plotten 380 nieuw 120 achterin afgekort b set,kjss outdoor,1649980800,3,2,,0,r1iJvHbkTs7K
5,1650566862,1650566862,World Cup Stage 1 Antalya 2022,Antalya,1650499200,3,1,,0,r1iJvHbkTs7K
6,1651516979,1651516979,Lange afstand + teams herentals,,1651276800,3,1,,0,r1iJvHbkTs7K
7,1651672466,1651672466,GP Plovdiv,Plovdiv,1651622400,3,1,,0,r1iJvHbkTs7K
8,1652557707,1652557707,KSM 1440,Merksplas Kolonie,1652486400,1,1,,0,r1iJvHbkTs7K
9,1652633112,1652633112,charleroi 1440,Charleroi,1649462400,3,1,,0,r1iJvHbkTs7K
10,1653809561,1654432730,Lowlands stage 3 Schijndel,Schijndel,1653782400,3,1,,0,r1iJvHbkTs7K
11,1654521620,1654521620,EK Munchen 2022,Munchen,1654473600,3,1,,0,r1iJvHbkTs7K
12,1655817795,1655817795,WC stage 3 Parijs,Parijs,1655769600,3,1,"andere latten 70 40 ns g wood nu, afgesteld met w&w nu wel koreaans geluid",0,r1iJvHbkTs7K
13,1657468380,1657468380,lowlands stage 4 Ulvenhout,Ulvenhout,1657411200,3,1,"2e, niet zo een goede kwalificatie rondes 
in de war met de wind?
niet zuiver geschoten
teveel gewild
maar toch een aantal matchen (en shoot offs) kunnen winnen behalve steve was te sterk en ik iets minder.",0,r1iJvHbkTs7K
14,1658512551,1658512568,WC Stage 4 Medellin,Medellin,1658448000,3,1,,0,r1iJvHbkTs7K
15,1660681927,1660682083,GP Herenthout,Herenthout,1660435200,0,1,"heel warm, hittegolf, goeie oefening",0,r1iJvHbkTs7K
16,1662903712,1662903712,Lowlands finale,rozenjagers,1662854400,3,1,,0,r1iJvHbkTs7K
17,1663435806,1663435806,Belgisch kampioenschap 2022,zelzate,1663372800,3,1,"mooi, 5e keer op rij",0,r1iJvHbkTs7K
18,1664257872,1664257872,Belgian Open Classic,zelzate,1663459200,14,1,beetje offday,0,r1iJvHbkTs7K
19,1667122766,1667122771,BAIC Westerlo,Westerlo,1667088000,5,1,,0,r1iJvHbkTs7K
20,1668584982,1668585217,Kings Of Archery 2022,Eindhoven,1668211200,70,1,"goed weekend zaterdag ging sterk, goed en vlot. zondag enkel jammer van laatste pijl net een 8, raakte geel niet meer. was opzich een goed en vlot schot, heb het heel de wedstrijd goed uitgehouden qua zenuwen en de schoten onder controle gehouden maar op het einde de fout gemaakt om te snel te willen afmaken. ik schoot een mooie WA 10, nog een en toen wilde ik teveel doorgaan ipv zoals de vorige rondes even te wachten, rustig te worden en terug een 10 schieten. want ik merkte wel op training dat mijn 2 L en R onder spots soms L of R of hoog 9 was. op de wedstrijd zelfs was dit minder het geval door op het gemak te schieten en even pauze te nemen op momenten. de S/O met 8 9
898 schutters werd gewonnen door Steve, ik schoot een goede WA 10 maar hij de x er uit. 

algemeen vond ik mezelf sterk schieten, schoten goed afwerken, correct uitvoeren en redelijk veel WA 10en. voorhand zat goed ontspannen richting 10 en vlotte los",0,r1iJvHbkTs7K
21,1670248314,1670248470,BAIC Rumst,terhagen,1670112000,5,1,"iets minder begonnen maar wel herpakt na 1ehelft van 1e ronde en dan blijven gaan door heel de dag


geschoten met gele CTH tab",0,r1iJvHbkTs7K
22,1671282602,1673213094,LCI Leopoldsburg,Leopoldsburg,1671148800,5,1,,0,r1iJvHbkTs7K
23,1673120268,1673213083,Bondy,Bondy,1673049600,5,1,voelde me niet helemaal in topvorm maar had wel zin in het schieten,0,r1iJvHbkTs7K
24,1675256008,1675256012,VK Herentals,Herentals,1674950400,5,1,"niet zo goed, op het einde wat verspeeld met links en rechtse 8en te schieten. van heel de dag niet zo super goed",0,r1iJvHbkTs7K
25,1677448176,1677448176,BK Wuustwezel,Wuustwezel,1677369600,5,1,"minder goede kwalificatie, goede eliminaties, 1 misser geschoten in finale wegens te gefocust op vingers en pees rolde eraf te traag. daarna nog 20 bijgeschoten en volgende ronde bij 5-1 30 om af te sluiten",0,r1iJvHbkTs7K
26,1680525259,1680525259,EGP Lilleshall,Lilleshall,1680480000,3,1,,0,r1iJvHbkTs7K
27,1681720395,1681720395,1440 Herentals,Herentals,1679702400,3,1,"selectiewedstrijd herentals, getest met nieuwe boog (groene ATF-DX)

was redelijk slecht weer en ging niet super bij iedereen",0,r1iJvHbkTs7K
28,1681720561,1681720708,BAOC Jumet,Jumet,1681603200,3,1,"1e BAOC van het seizoen. iets mindere qualificatie maar wel constant (326, met 2 mindere rondes 51 en 53 en 328, met een 5)

finales waren ok (min 27) maar maarten was te sterk in de 1/2 en elian voor brons te sterk 29,28,28 en ik was wat aan het sukkelen met ze in de 10 te krijgen",0,r1iJvHbkTs7K
29,1681820391,1681820655,World Cup Antalya,Antalya,1681776000,3,1,,0,r1iJvHbkTs7K
30,1683024260,1683024260,BAOC KJSS,sint Katelijne,1682899200,3,1,"nog een beetje ziek, maar vandaag iets beter. wel een hoedtje af en toe en wat slijm ophoesten keelpijn is minder",0,r1iJvHbkTs7K
31,1683024436,1683024436,1440 ronde KJSS,sint Katelijne,1682726400,3,1,zwarte CTH tab,0,r1iJvHbkTs7K
32,1684045877,1684045877,World Cup Shanghai,Shanghai,1684022400,3,1,,0,r1iJvHbkTs7K
33,1685351621,1685351621,EGP Umag,Umag,1685318400,3,1,,0,r1iJvHbkTs7K
34,1686557368,1686557368,FITA Jabbeke,jabbeke,1686441600,11,1,"zeer warm, wind viel mee",0,r1iJvHbkTs7K
35,1687077581,1687077581,BAOC 3 Juprelle,Juprelle,1687046400,3,1,gele CTH tab,0,r1iJvHbkTs7K
36,1687376367,1687376367,European Games,Krakau,1687305600,3,1,,0,r1iJvHbkTs7K
37,1690022282,1690116275,FITA Veerle day 1,Veerle,1689984000,13,1,"eerste test nieuwe pijlen. wel veel wind, lastig schieten

rechtse schouderblad/nek zit ook goed vast...",0,r1iJvHbkTs7K
38,1690116422,1690116422,FITA Veerle day 2,veerle,1690070400,11,1,"veel wind! en in begin regen, lastig schieten!!!",0,r1iJvHbkTs7K
39,1690809266,1690809266,WK Berlin,berlijn,1690761600,3,1,,0,r1iJvHbkTs7K
40,1692095245,1692095245,World Cup stage 4 Parijs,Parijs,1692057600,3,1,,0,r1iJvHbkTs7K
42,1692346073,1692346073,Lotto Archery Cup Final,Brasschaat,1691798400,0,1,,0,r1iJvHbkTs7K
43,1693226668,1693226824,Lowlands Stage 4 Purmerend 2023,Purmerend,1693094400,3,1,"goed gevoel ernaartoe

jammer genoeg afgelast net na semifinales",0,r1iJvHbkTs7K
44,1693824486,1693824486,BK Outdoor Namen 2023,Namen,1693612800,3,1,,0,r1iJvHbkTs7K
45,1699825279,1699825285,KOA 2023,eindhoven,1699660800,70,1,,0,r1iJvHbkTs7K
46,1700337637,1700337637,GT open Strassen,Strassen,1700265600,5,1,,0,r1iJvHbkTs7K
47,1701691356,1701691356,BAIC kjss,terhagen,1701561600,5,1,,0,r1iJvHbkTs7K
48,1704548222,1704548230,Bondy 2024,bondy,1704499200,5,1,als test voor nimes weten waar moet worden bijgeschaafd,0,r1iJvHbkTs7K
49,1705858556,1705858556,Nimes 2024,nimes,1705795200,5,1,test na bondy meer op q gefocussed schieten,0,r1iJvHbkTs7K
50,1706936674,1706936674,Vegas 2024,Vegas,1706832000,19,1,,0,r1iJvHbkTs7K
51,1708354199,1708354199,EK indoor Kroatië,Kroatië,1708300800,5,1,,0,r1iJvHbkTs7K
52,1712261271,1712261271,Bagatir,Antalya,1712188800,3,1,,0,r1iJvHbkTs7K
53,1713959556,1713959561,Shanghai WC 2024,Shanghai,1713916800,3,1,,0,r1iJvHbkTs7K
54,1714741454,1714741462,BAOC KJS,Lippelo,1714521600,3,1,,0,r1iJvHbkTs7K
55,1715011022,1715011030,EQT Essen,,1714953600,3,1,,0,r1iJvHbkTs7K
56,1715163911,1715163911,EK Essen,Essen,1715126400,3,1,,0,r1iJvHbkTs7K
57,1717102188,1717102194,Veronica Cup 2024,Kamnik,1717027200,3,1,,0,r1iJvHbkTs7K
58,1718288012,1718288016,FQT Antalya,Antalya,1718236800,3,1,,0,r1iJvHbkTs7K
59,1718866801,1718866801,WC Antalya stage 4 2024,Antalya,1718755200,3,1,warm!!,0,r1iJvHbkTs7K
60,1719388533,1719388537,BAOC Luik,Luik,1719100800,3,1,"andere manier van Q 

fun vandaag, gewoon schieten, geen druk maakte me niets uit... en ging toch nog redelijk",0,r1iJvHbkTs7K
61,1721492004,1721492183,BAOC charleroi,charleroi,1713052800,3,1,,0,r1iJvHbkTs7K
62,1721492089,1721492294,BAOC Wuustwezel,Wuustwezel,1721433600,3,1,,0,r1iJvHbkTs7K
63,1721492105,1721582394,1440 ronde Herentals,Herentals,1721520000,3,1,wanneer ik niet de juiste concentratie had vloog het soms alle kanten op door waarschijnlijk slechte lijn achter rechts omdat soms links schouder inklapte en rechts hand naar schouder ging wanneer de focus goed was was het goed een doel en schot gevoel,0,r1iJvHbkTs7K
64,1723532795,1723532801,lotto cup,Brasschaat,1723334400,3,1,,0,r1iJvHbkTs7K
65,1730115026,1730115133,BAIC WSS,westerlo,1730073600,5,1,,0,r1iJvHbkTs7K
66,1734177361,1734177361,BAIC KJSS,terhagen,1734134400,5,1,,0,r1iJvHbkTs7K
67,1734177422,1734177422,LCI Leopoldsburg,Leopoldsburg,1734048000,5,1,in de avond nog last minute deelgenomen na 1000p in de afgelopen 48u omdat nicolas vond dat ik nog een competitie moest dien,0,r1iJvHbkTs7K
