_id,_time_c,_time_u,n,round_id,match_id,_aid
1,1649427321,1649427321,1,1,1,r1iJvHbkTs7K
3,1649576388,1649576388,2,2,7,r1iJvHbkTs7K
4,1649576388,1649576388,3,2,8,r1iJvHbkTs7K
5,1649590969,1649590969,3,2,9,r1iJvHbkTs7K
6,1649592456,1649592456,4,2,10,r1iJvHbkTs7K
7,1649592490,1649592490,5,2,11,r1iJvHbkTs7K
8,1649592497,1649592497,6,2,12,r1iJvHbkTs7K
9,1649935851,1649935851,1,3,13,r1iJvHbkTs7K
10,1650038547,1650038547,1,4,14,r1iJvHbkTs7K
12,1650566862,1650566862,2,5,16,r1iJvHbkTs7K
13,1650566862,1650566862,3,5,17,r1iJvHbkTs7K
14,1650566967,1650566967,4,5,18,r1iJvHbkTs7K
15,1650567129,1650567129,4,5,19,r1iJvHbkTs7K
16,1650567243,1650567243,5,5,20,r1iJvHbkTs7K
17,1650567338,1650567338,6,5,21,r1iJvHbkTs7K
18,1650610401,1650610401,7,5,22,r1iJvHbkTs7K
19,1650697808,1650697808,8,5,23,r1iJvHbkTs7K
20,1650698713,1650698713,9,5,24,r1iJvHbkTs7K
21,1650716144,1650716144,10,5,25,r1iJvHbkTs7K
22,1650746500,1650746500,11,5,26,r1iJvHbkTs7K
23,1650746607,1650746607,12,5,27,r1iJvHbkTs7K
24,1650746730,1650746730,13,5,28,r1iJvHbkTs7K
25,1650746861,1650746861,14,5,29,r1iJvHbkTs7K
26,1650746995,1650746995,15,5,30,r1iJvHbkTs7K
27,1651516986,1651516986,1,6,247,r1iJvHbkTs7K
28,1651516991,1651516991,2,6,248,r1iJvHbkTs7K
29,1651672466,1651672466,1,7,252,r1iJvHbkTs7K
30,1651672466,1651672466,2,7,253,r1iJvHbkTs7K
31,1651672466,1651672466,3,7,254,r1iJvHbkTs7K
32,1651731160,1651731160,4,7,255,r1iJvHbkTs7K
33,1651755621,1651755621,5,7,256,r1iJvHbkTs7K
34,1651755647,1651755647,6,7,257,r1iJvHbkTs7K
35,1651778008,1651778008,7,7,258,r1iJvHbkTs7K
36,1651823521,1651823521,8,7,259,r1iJvHbkTs7K
37,1651823539,1651823539,9,7,260,r1iJvHbkTs7K
38,1651823581,1651823581,10,7,261,r1iJvHbkTs7K
39,1651823636,1651823636,11,7,262,r1iJvHbkTs7K
40,1651837200,1651837200,12,7,263,r1iJvHbkTs7K
