_id,_time_c,_time_u,distance,distance_units,elevation,windage,bowsetup_id,arrowset_id,_aid
1,1650352166,1650352166,70.0,0,6.65,0.0,1,2,r1iJvHbkTs7K
2,1650566665,1653381754,50.0,0,3.7,0.0,1,2,r1iJvHbkTs7K
3,1652711237,1652712988,90.0,0,8.7,0.0,3,2,r1iJvHbkTs7K
4,1653057687,1653057687,30.0,0,2.0,0.0,1,2,r1iJvHbkTs7K
5,1653058812,1653058812,90.0,0,8.85,0.0,5,2,r1iJvHbkTs7K
6,1654362532,1654526007,70.0,0,6.85,0.0,1,4,r1iJvHbkTs7K
7,1654525980,1654525980,70.0,0,6.9,0.0,4,4,r1iJvHbkTs7K
8,1656493825,1663325708,70.0,0,6.7,0.0,6,6,r1iJvHbkTs7K
9,1656494459,1663327028,50.0,0,4.0,0.0,6,6,r1iJvHbkTs7K
10,1660242153,1660242153,25.0,0,0.75,0.0,6,6,r1iJvHbkTs7K
11,1663325727,1663325727,90.0,0,8.85,0.0,5,6,r1iJvHbkTs7K
12,1663326813,1663327135,30.0,0,1.1,0.0,6,6,r1iJvHbkTs7K
13,1680006562,1688391062,70.0,0,6.25,0.0,9,8,r1iJvHbkTs7K
14,1681304836,1681304836,80.0,0,7.6,0.0,9,8,r1iJvHbkTs7K
15,1686307495,1686307546,50.0,0,3.3,0.0,9,8,r1iJvHbkTs7K
16,1686307863,1686307863,30.0,0,1.0,0.0,9,8,r1iJvHbkTs7K
17,1686308831,1686309444,90.0,0,8.5,141.0,9,8,r1iJvHbkTs7K
18,1689856234,1689856234,70.0,0,6.2,0.0,9,11,r1iJvHbkTs7K
19,1690025662,1690025662,50.0,0,3.6,0.0,9,11,r1iJvHbkTs7K
20,1692450975,1692450975,40.0,0,2.3,0.0,9,8,r1iJvHbkTs7K
21,1695913295,1695913295,30.0,0,0.8,0.0,12,13,r1iJvHbkTs7K
22,1695928867,1695928867,50.0,0,3.1,0.0,12,13,r1iJvHbkTs7K
23,1697736178,1697736178,70.0,0,6.3,0.0,12,13,r1iJvHbkTs7K
24,1698719572,1700060770,70.0,0,7.1,0.0,12,14,r1iJvHbkTs7K
25,1699470569,1701083843,18.0,0,0.1,0.0,12,13,r1iJvHbkTs7K
26,1700752371,1700752371,50.0,0,4.2,0.0,12,14,r1iJvHbkTs7K
27,1701083855,1701083855,25.0,0,0.5,0.0,12,13,r1iJvHbkTs7K
28,1701444583,1701444583,18.0,0,1.1,0.0,12,14,r1iJvHbkTs7K
29,1712131306,1712131306,70.0,0,6.0,0.0,13,10,r1iJvHbkTs7K
30,1712131341,1712131341,70.0,0,6.95,0.0,12,10,r1iJvHbkTs7K
31,1728399775,1728399775,70.0,0,6.6,0.0,14,27,r1iJvHbkTs7K
32,1728399779,1728400060,30.0,0,0.3,0.0,14,27,r1iJvHbkTs7K
